,Agree,Disagree,Strongly Agree
I think I would like to use this system frequently.,0.0,0.0,1.0
I found the system unnecessarily complex,0.0,1.0,0.0
I thought the system was easy to use,1.0,0.0,0.0
I think I would need the support of a technical person to use this system,0.0,1.0,0.0
I found the various functions in this system were well integrated,0.0,0.0,1.0
I thought there was too much inconsistency in this system,0.0,1.0,0.0
I would imagine that most people would learn to use this system quickly,0.0,0.0,1.0
I found the system very cumbersome to use,0.0,1.0,0.0
I felt very confident using the system,0.0,0.0,1.0
I needed to learn a lot of things before I could get going with this system ,0.0,1.0,0.0
